run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_conv_fraction,base_conv_fraction,fulps_recovery_t,base_recovery_t,fulps_stable_recovery_t,base_stable_recovery_t,fulps_unstable_recovery_t,base_unstable_recovery_t,fulps_recovery_fraction,base_recovery_fraction,n_affected_observers,contra_pre_mean,contra_post_mean,contra_spike,stable_fraction,mean_contra_rate
16,57,0.6132422089576721,0.5978195071220398,0.8071337938308716,0.6613227725028992,0.5974621772766113,0.5941260457038879,0.6155751347541809,0.5983656048774719,0.09607890993356705,0.09607890993356705,0.05157584324479103,0.05157584324479103,0.10265833139419556,0.10265833139419556,7.285600185394287,7.285600185394287,1.0,1.0,115.83938598632812,129.08665466308594,128.59336853027344,133.8091278076172,114.2735595703125,128.5068817138672,0.79491833030853,0.5657894736842105,0.8816,0.19916000000000003,0.20032,0.0011599999999999666,0.1288,0.27055733333333337
17,58,0.6165929436683655,0.5984968543052673,0.8172160387039185,0.6577044129371643,0.5980892777442932,0.5942360758781433,0.6183873414993286,0.5989100337028503,0.10516953468322754,0.10516953468322754,0.05877050384879112,0.05877050384879112,0.10966895520687103,0.10966895520687103,7.852799892425537,7.852799892425537,1.0,1.0,109.2215347290039,125.75110626220703,119.34857177734375,127.55999755859375,108.37398529052734,125.59971618652344,0.8345101500441306,0.5829655781112092,0.9064,0.27236000000000005,0.24900000000000003,-0.02336000000000002,0.0884,0.3152613333333333
18,59,0.6173929572105408,0.5990164279937744,0.8246718049049377,0.6612169742584229,0.6000089049339294,0.5951482653617859,0.6187095046043396,0.5993093252182007,0.10638906061649323,0.10638906061649323,0.06278853118419647,0.06278853118419647,0.10969099402427673,0.10969099402427673,7.360799789428711,7.360799789428711,1.0,1.0,105.60208892822266,124.99652099609375,113.94366455078125,127.01408386230469,105.05370330810547,124.8638916015625,0.8748913987836664,0.6012163336229366,0.9208,0.3058,0.34984000000000004,0.044040000000000024,0.0704,0.32370666666666664
19,60,0.6124445199966431,0.597906231880188,0.7992488145828247,0.6618243455886841,0.5985107421875,0.5948730707168579,0.6144898533821106,0.5983514785766602,0.09669844061136246,0.09669844061136246,0.05803833156824112,0.05803833156824112,0.10237331688404083,0.10237331688404083,7.999599933624268,7.999599933624268,1.0,1.0,116.93746948242188,130.17237854003906,128.2276153564453,132.60447692871094,115.45061492919922,129.85208129882812,0.8336951801997394,0.5779418150238819,0.9212,0.19827999999999998,0.16156,-0.036719999999999975,0.128,0.2590693333333333
20,61,0.6102726459503174,0.597267210483551,0.7989287376403809,0.6679011583328247,0.5970178246498108,0.59377521276474,0.6133013963699341,0.5980651378631592,0.0887218713760376,0.0887218713760376,0.051999326795339584,0.051999326795339584,0.09711302071809769,0.09711302071809769,6.9232001304626465,6.9232001304626465,1.0,1.0,117.57129669189453,130.3497314453125,126.38309478759766,132.9239501953125,115.890380859375,129.85867309570312,0.7955776173285198,0.5568592057761733,0.8864,0.19456,0.13835999999999998,-0.05620000000000003,0.186,0.22798133333333334
