run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_conv_fraction,base_conv_fraction,fulps_recovery_t,base_recovery_t,fulps_stable_recovery_t,base_stable_recovery_t,fulps_unstable_recovery_t,base_unstable_recovery_t,fulps_recovery_fraction,base_recovery_fraction,n_affected_observers,contra_pre_mean,contra_post_mean,contra_spike,stable_fraction,mean_contra_rate
26,67,0.6154000163078308,0.5981937646865845,0.8220807909965515,0.661490797996521,0.5981874465942383,0.5945426821708679,0.6172194480895996,0.5985797047615051,0.10035468637943268,0.10035468637943268,0.0540582500398159,0.0540582500398159,0.10524847358465195,0.10524847358465195,7.019999980926514,7.019999980926514,1.0,1.0,107.21907806396484,125.7650146484375,119.73158264160156,127.34736633300781,106.07280731201172,125.62005615234375,0.8493816254416962,0.5596289752650176,0.9056,0.25620000000000004,0.30012,0.04391999999999996,0.0956,0.29823199999999994
27,68,0.6153835654258728,0.5983898639678955,0.8165841102600098,0.6644113659858704,0.5967986583709717,0.5937831997871399,0.618439257144928,0.5991472601890564,0.10039374977350235,0.10039374977350235,0.05080338194966316,0.05080338194966316,0.10854717344045639,0.10854717344045639,7.861199855804443,7.861199855804443,1.0,1.0,105.15284729003906,124.33662414550781,116.40550994873047,124.55905151367188,103.7071304321289,124.30804443359375,0.8547736441057822,0.5750784401613627,0.8924,0.27887999999999996,0.34204,0.06316000000000005,0.1412,0.302456
28,69,0.6110265851020813,0.5974804759025574,0.8077502250671387,0.6683885455131531,0.598195493221283,0.5940264463424683,0.6136994361877441,0.5981999635696411,0.089060939848423,0.089060939848423,0.05567539110779762,0.05567539110779762,0.09601558744907379,0.09601558744907379,6.690800189971924,6.690800189971924,1.0,1.0,110.31022644042969,126.2891616821289,118.35882568359375,129.75294494628906,108.89891815185547,125.68179321289062,0.8293111013602458,0.5831505046072839,0.9116,0.17196000000000003,0.22088000000000002,0.04891999999999999,0.1724,0.23520266666666667
29,70,0.6162875294685364,0.5986577868461609,0.8243468999862671,0.6630908846855164,0.5997693538665771,0.5948107242584229,0.6179772019386292,0.5990513563156128,0.10224687308073044,0.10224687308073044,0.061877019703388214,0.061877019703388214,0.10637641698122025,0.10637641698122025,7.429999828338623,7.429999828338623,1.0,1.0,102.56002044677734,123.08817291259766,115.1025619506836,126.77948760986328,101.39312744140625,122.7447509765625,0.8773461370580532,0.5953731994762113,0.9164,0.32283999999999996,0.37779999999999997,0.05496000000000001,0.0928,0.31275200000000003
30,71,0.6161500215530396,0.5987663865089417,0.8183811902999878,0.6633036732673645,0.5981410145759583,0.594459593296051,0.6184031367301941,0.599305272102356,0.1033492162823677,0.1033492162823677,0.05553760007023811,0.05553760007023811,0.10933104902505875,0.10933104902505875,7.440800189971924,7.440800189971924,1.0,1.0,108.01913452148438,125.8050765991211,115.57142639160156,126.45088958740234,107.18289947509766,125.73356628417969,0.8473520249221184,0.584334668446818,0.8988,0.29952,0.31436,0.014839999999999964,0.1112,0.314368
