base_final_tacc,learn_final_tacc,gate_final_tacc,sig_final_tacc,ars_final_tacc,gate_final_perstate,sig_final_perstate,ars_final_perstate,cv_base_pre,cv_gate_pre,cv_sig_pre,cv_ars_pre,cv_base_post,cv_gate_post,cv_sig_post,cv_ars_post,base_recovery_t,gate_recovery_t,sig_recovery_t,ars_recovery_t,base_recovery_frac,gate_recovery_frac,sig_recovery_frac,ars_recovery_frac,mi_gate_pre,mi_sig_pre,mi_gate_post,mi_sig_post,cre_gate,cre_sig,cre_ars,gate_mean_overall,sig_mean_overall,ars_gate_mean_overall,distress_mean_overall,contra_spike,gate_spike,sig_spike,grid_div_gate,grid_div_sig,grid_div_ars,stable_std,stable_gate,stable_sig,stable_ars,rule_entropy_pre,rule_entropy_post,rule_dominance_pre,rule_dominance_post,rule_migration_magnitude,rule_pref_stability,rule_adaptation_lag,rule_recovery_advantage,regional_specialisation,total_switches,switch_rate_post,rule_frac_A_post,rule_frac_B_post,rule_frac_C_post,rule_frac_D_post,rule_frac_A_pre,rule_frac_B_pre,rule_frac_C_pre,rule_frac_D_pre,mi_ruleA_post,mi_ruleB_post,mi_ruleC_post,mi_ruleD_post
0.6005195379257202,0.6183953285217285,0.6025437712669373,0.6024578213691711,0.6020796895027161,0.7407359480857849,0.7386675477027893,0.7348490953445435,0.08871896524923821,0.03973664821538404,0.029658719456679722,0.0191534881724068,0.011613955253317956,0.005087877373085714,0.004222494291472581,0.019859765987838153,158.14891052246094,126.1670150756836,122.13544464111328,139.80055236816406,0.6489177489177489,0.8802521008403361,0.910126582278481,0.8855555555555555,41.50987648189065,32.05526658637263,5.044488911792204,3.4144788544798983,117.0,118.0,115.0,0.28583400000000003,0.297922,0.331062,0.21071107141673565,0.01850400000000002,-0.06640000000000001,-0.043800000000000006,0.5132,0.4924,0.4996,0.1736,0.8016,0.8296,0.774,1.9803683519363404,1.9792693614959718,0.31016,0.32344,0.08335980772972107,0.0003200000000000091,200.0,-17.66510772705078,0.009489739313721657,7132.0,34.68,0.22704008221626282,0.3234398663043976,0.2123999148607254,0.2371201068162918,0.260560005903244,0.3101600706577301,0.22055989503860474,0.20871999859809875,-0.3059424576090647,-1.8162728930275107,-3.606626912110821,4.069123673286519
0.6001155972480774,0.6164765357971191,0.6021875143051147,0.6017562747001648,0.6016687750816345,0.7318140864372253,0.7271394729614258,0.7282818555831909,0.12451349486186059,0.03433432354205711,0.03586278650078286,0.027048098290511607,0.012855667318037613,0.0021337533538470844,0.0018738846539450948,0.016990207297262104,165.2865753173828,122.13264465332031,120.84788513183594,139.54127502441406,0.6158826068191627,0.9019607843137255,0.9140211640211641,0.8814858490566038,41.98719997140285,36.32394317850774,1.605422738692983,3.297675998535948,127.0,127.0,143.0,0.28700200000000003,0.303684,0.333324,0.20967091456055642,-0.08273599999999998,-0.03811999999999999,-0.04872000000000004,0.4904,0.4772,0.4852,0.1908,0.7972,0.8408,0.7752,1.9854920625686645,1.9742369413375855,0.29624,0.33176,0.10480019450187683,0.002879999999999994,200.0,-18.693389892578125,0.012653260491788387,7191.0,35.46,0.23272012174129486,0.3317602276802063,0.20520012080669403,0.23031990230083466,0.2684002220630646,0.2955198287963867,0.22191999852657318,0.21416008472442627,0.3478938919866963,2.5723327322628005,1.090732711887629,0.26544025393377896
0.5996086001396179,0.6165367364883423,0.602874219417572,0.6017593741416931,0.6015796661376953,0.7385808825492859,0.7291468977928162,0.7283210158348083,0.21531939386508403,0.026315328114799877,0.021475011871716528,0.014326099387324915,0.020889355576586704,0.0055126303510854655,0.004141527865984699,0.019225642099898417,164.7935028076172,115.57880401611328,119.70516204833984,143.0564422607422,0.6177489177489177,0.9442119944211994,0.9375,0.8835978835978836,25.135122239100852,27.18003356523009,2.7893627978287787,6.447887031474801,126.0,125.0,140.0,0.30634999999999996,0.309704,0.33516999999999997,0.19703230448067188,-0.08471999999999999,-0.0676799999999999,-0.051879999999999926,0.4892,0.5048,0.5136,0.1648,0.8,0.8524,0.7808,1.983794617652893,1.9774123907089234,0.2972000000000001,0.32792,0.09199976921081543,0.0017599999999999838,200.0,-23.351280212402344,0.016666598618030548,7108.0,35.06,0.22864006459712982,0.3279201090335846,0.21535998582839966,0.22808006405830383,0.26983991265296936,0.2964801490306854,0.22015994787216187,0.21352006494998932,-0.5124941438058569,1.7647751658849398,2.0574005308893413,7.019751180914154
0.5988336205482483,0.6147406101226807,0.6033718585968018,0.6023070216178894,0.6024218797683716,0.7371333837509155,0.7305876016616821,0.7275106310844421,0.21750013098595303,0.031305315142227945,0.024168264941408127,0.016626920562428735,0.011301322720009045,0.004949284821096314,0.0031872868215113296,0.02350758405726954,161.26275634765625,121.43184661865234,120.97347259521484,138.75575256347656,0.5819158460161146,0.9360675512665863,0.9257294429708223,0.8861571352218065,32.706496453106716,30.344413524361194,2.65053878778089,5.72410668177328,130.0,127.0,151.0,0.303806,0.300238,0.338254,0.20120442971587182,-0.022279999999999994,-0.05663999999999997,-0.04835999999999996,0.516,0.5156,0.4972,0.2296,0.7524,0.8216,0.73,1.9773745775222777,1.9772030591964722,0.31328,0.32432,0.1177600771188736,0.004959999999999986,200.0,-17.78227996826172,0.012046483345329762,7123.0,36.28,0.2366398572921753,0.32432013750076294,0.20328004658222198,0.23576003313064575,0.2766399085521698,0.29864004254341125,0.22215993702411652,0.20255999267101288,0.9587099763959901,-3.195870383599589,-1.0826291421500873,2.2479515661134624
0.5989062786102295,0.6153500080108643,0.6021023392677307,0.6017476320266724,0.6021695137023926,0.7356336116790771,0.7271531224250793,0.7286913394927979,0.07361911624235838,0.033607505176477974,0.031382294590107905,0.025756855558124913,0.012343300255099887,0.004854878333874195,0.004061908989616076,0.018196872858571703,164.08596801757812,125.38287353515625,122.58716583251953,139.71522521972656,0.578173719376392,0.8979848866498741,0.9163179916317992,0.8818031885651457,42.90319288663081,22.4076913552359,3.5094536086690544,2.8334089488360767,132.0,138.0,175.0,0.29545,0.316706,0.34826,0.1958985086530447,0.013352000000000003,-0.029880000000000018,-0.05679999999999985,0.5,0.5132,0.5188,0.1708,0.8108,0.8628,0.7656,1.9865127086639405,1.9759819746017455,0.30448000000000003,0.3281600000000001,0.07200010120868683,0.005119999999999992,200.0,-17.12805938720703,0.007094018626958132,7237.0,35.7,0.2328799068927765,0.3281598687171936,0.20568008720874786,0.23328012228012085,0.24623987078666687,0.30447980761528015,0.22832000255584717,0.22095996141433716,-1.0540927684226848,1.7037140932574693,1.9014442353133223,1.708433809292574
0.599135160446167,0.6141312718391418,0.6027968525886536,0.6024234294891357,0.6020023226737976,0.7361622452735901,0.7279911637306213,0.7280272245407104,0.09980040779634623,0.033063237136825734,0.03491969961120961,0.019144981295858902,0.02144106809578878,0.0030242084363755503,0.0030824621692538677,0.02362020554639156,167.30775451660156,126.11139678955078,125.17159271240234,140.4074249267578,0.5922840859272249,0.9206145966709347,0.9367088607594937,0.8896777717094484,27.162622041411417,27.697982160931552,4.33509319539799,4.73338528052246,145.0,136.0,179.0,0.30782000000000004,0.30597799999999997,0.330896,0.20075309850275516,-0.013567999999999997,-0.05404000000000003,-0.07447999999999999,0.4856,0.4928,0.5144,0.2496,0.7804,0.832,0.7448,1.9811638832092284,1.9756654500961304,0.31032000000000004,0.32743999999999995,0.08384042978286743,0.0012800000000000144,200.0,-15.235832214355469,0.016018196940422058,7137.0,35.86,0.2303999662399292,0.3274401128292084,0.20223991572856903,0.23992009460926056,0.26071998476982117,0.31032001972198486,0.21384009718894958,0.21511995792388916,1.6389438070117892,-1.1100379310941064,-0.24151691315658724,3.531441141844839
0.6004703044891357,0.6198461055755615,0.6026710867881775,0.6028242111206055,0.6029788851737976,0.734325110912323,0.7311413288116455,0.7271507978439331,0.10497678819046909,0.012861153744389495,0.012784024540898832,0.023482377897923158,0.013640027810216122,0.004537246328935776,0.0028932043873050924,0.019886778479620473,160.5613555908203,126.58887481689453,122.69318389892578,141.0210723876953,0.6166231505657093,0.9118046132971506,0.9191919191919192,0.8761854583772392,20.219310477253895,19.503584024207306,3.3568858512157367,-2.778621007842276,121.0,117.0,139.0,0.319876,0.30561200000000005,0.34482799999999997,0.19605593129992485,0.016583999999999988,-0.042679999999999996,-0.04303999999999997,0.4924,0.4864,0.5076,0.1312,0.7984,0.802,0.7088,1.9709372997283936,1.9725818872451781,0.32104,0.33192,0.07951948046684265,0.0038399999999999992,200.0,-18.32788848876953,0.017705610021948814,7149.0,35.5,0.23760013282299042,0.33191996812820435,0.19904007017612457,0.23143985867500305,0.26736003160476685,0.32104015350341797,0.20903997123241425,0.20255999267101288,3.9342628567510474,4.264181031001819,7.149141710121799,0.16320703067774256
0.6001468896865845,0.6208617091178894,0.602678120136261,0.6021671891212463,0.6024187207221985,0.7371408939361572,0.7341485023498535,0.7314648628234863,0.09232697786667614,0.022111146770273888,0.028667296398600446,0.032362391630993345,0.006761735043612602,0.0029552296599031857,0.0027065069710404334,0.018883923090719835,159.7249298095703,119.37553405761719,121.43522644042969,137.605224609375,0.5700090334236676,0.9544807965860598,0.9519650655021834,0.8800666296501943,22.271535041455294,22.01361478621024,5.211609503675289,1.3492869572991615,109.0,106.0,101.0,0.313798,0.313152,0.337134,0.19865596562623977,0.09966399999999997,-0.041200000000000014,-0.07139999999999996,0.4948,0.496,0.4976,0.0956,0.8,0.8476,0.7508,1.977458930015564,1.976128101348877,0.30232,0.3266400000000001,0.11935998499393463,0.010719999999999997,200.0,-16.169998168945312,0.018366031348705292,7102.0,34.74,0.22975994646549225,0.326639860868454,0.20400011539459229,0.2396000623703003,0.28224003314971924,0.3023197650909424,0.21119996905326843,0.2042401134967804,4.396358360260173,-2.4950549742651664,2.2111739608868004,0.994404624614447
0.6000632643699646,0.6173906326293945,0.6023484468460083,0.6021140813827515,0.601869523525238,0.7409694194793701,0.7365925908088684,0.730539083480835,0.08740098793504619,0.03901417059671531,0.03181215600378234,0.043063131926045425,0.013472509119795004,0.0054222591443523985,0.002792333294664994,0.020766768150939446,159.7542266845703,125.88214111328125,129.9166717529297,139.75054931640625,0.6348241424229266,0.8785714285714286,0.9069264069264069,0.8833333333333333,42.42943985602171,42.2709830624112,4.470641253418012,10.056962873730354,118.0,122.0,144.0,0.284578,0.300498,0.33272799999999997,0.21567958652973174,-0.002239999999999992,-0.04059999999999997,-0.0643200000000001,0.482,0.4844,0.5012,0.1868,0.8256,0.842,0.764,1.9818699359893799,1.978184461593628,0.3036,0.3244,0.06847928464412689,0.0,200.0,-9.833877563476562,0.009078873321413994,7170.0,35.58,0.23280005156993866,0.3243999779224396,0.20736008882522583,0.23543986678123474,0.26591986417770386,0.30360013246536255,0.20847995579242706,0.2220001071691513,3.6736594028175658,0.3773418923782616,-0.6908673249841374,2.1699826972512155
0.5998304486274719,0.6162968873977661,0.6023140549659729,0.6017460823059082,0.6018531322479248,0.7383129596710205,0.7313818335533142,0.7309271693229675,0.13859431685189214,0.03645569243987245,0.02495003689714109,0.015024719975748401,0.019405091459111755,0.0027070495132588287,0.004335577287196095,0.01792674498319866,164.2752227783203,127.11592102050781,119.6820297241211,138.8443145751953,0.6387068588903452,0.9180834621329211,0.9400921658986175,0.8798833819241982,23.73289817052757,24.730694305973298,5.9837592366193455,-0.46145005993452637,132.0,131.0,151.0,0.316118,0.31114800000000004,0.34349199999999996,0.1958778527379036,-0.02488000000000004,-0.055879999999999985,-0.07784000000000002,0.5072,0.492,0.5024,0.1852,0.8332,0.864,0.7952,1.9788899421691895,1.9783542156219482,0.3128,0.32504,0.08272026479244232,0.00351999999999999,200.0,-19.16228485107422,0.017565105110406876,7193.0,35.78,0.23143985867500305,0.32504013180732727,0.21016007661819458,0.2333599478006363,0.261520117521286,0.3128000497817993,0.22144009172916412,0.20424003899097443,2.706695542601534,0.7699024060438537,4.201711993755362,3.9608779734979147
