run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
1,42,0.6005195379257202,0.620855450630188,0.5996359586715698,0.6687801480293274,0.8341503739356995,0.7285236716270447,0.08871896524923821,0.023662936340480695,0.011613955253317956,0.004216055456773234,-0.06505602890875752,-0.007397899796544722,0.0,0.0,0.48636,0.44164000000000003,-0.04471999999999998,0.32891000000000004,0.4952,0.03083999999999998,0.29796,0.3288,158.14891052246094,132.82986450195312,122.7384033203125,0.6489177489177489,0.8939393939393939,0.9417360285374554,0.057197656482458115,0.1736,0.9516,0.296734
2,43,0.6001155972480774,0.618694543838501,0.6002343893051147,0.6641830205917358,0.8187257647514343,0.7209585905075073,0.12451349486186059,0.019252062034476485,0.012855667318037613,0.003930160381044273,-0.1052614328273841,-0.00892550693699334,0.0,0.0,0.5051200000000001,0.43428000000000005,-0.07084000000000007,0.33856400000000003,0.4944,-0.03863999999999998,0.19068,0.15204,165.2865753173828,143.51316833496094,126.49398803710938,0.6158826068191627,0.8744065602071645,0.9447115384615384,0.06160859391093254,0.1908,0.934,0.273598
3,44,0.5996086001396179,0.6188914179801941,0.5994859337806702,0.6611053943634033,0.822084367275238,0.7224393486976624,0.21531939386508403,0.013610682632818904,0.020889355576586704,0.002779731111723873,-0.20170871123226514,-0.01810962446486283,0.0,0.0,0.47828,0.42116,-0.057120000000000004,0.34158,0.51,-0.01591999999999999,0.18059999999999998,0.16468,164.7935028076172,145.86146545410156,123.4775390625,0.6177489177489177,0.8484848484848485,0.9460847240051348,0.05650312453508377,0.1648,0.9572,0.27273400000000003
4,45,0.5988336205482483,0.6168679594993591,0.5996968746185303,0.6626459956169128,0.8199146389961243,0.7200422883033752,0.21750013098595303,0.018105107116924677,0.011301322720009045,0.006601943710066005,-0.19939502386902835,-0.0046993790099430395,0.0,0.0,0.48760000000000003,0.42504,-0.06256000000000006,0.336148,0.4992,0.04715999999999998,0.16436,0.21151999999999999,161.26275634765625,140.36123657226562,123.50955200195312,0.5819158460161146,0.8267681289167412,0.9337579617834395,0.058946095407009125,0.2296,0.9548,0.271826
5,46,0.5989062786102295,0.6175984144210815,0.6000195145606995,0.660810112953186,0.823941707611084,0.7204309701919556,0.07361911624235838,0.016939972521537804,0.012343300255099887,0.003112620793649858,-0.05667914372082058,-0.00923067946145003,0.0,0.0,0.49044,0.43792,-0.05252000000000001,0.33900199999999997,0.4868,0.045200000000000046,0.19072,0.23592000000000005,164.08596801757812,138.9674835205078,122.18925476074219,0.578173719376392,0.8570155902004455,0.9310747663551402,0.05978281423449516,0.1708,0.9516,0.26679
