run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
16,57,0.6001288890838623,0.6192898154258728,0.59956955909729,0.6643140316009521,0.8228280544281006,0.7216940522193909,0.22378835327716093,0.033860250945838596,0.03248497082114295,0.0022818475096388386,-0.18992810233132235,-0.03020312331150411,0.0,0.0,0.51856,0.4483600000000001,-0.07019999999999993,0.339604,0.5132,0.04256,0.10864,0.1512,164.41580200195312,144.70489501953125,120.101806640625,0.6430412371134021,0.8642611683848798,0.9561855670103093,0.057197656482458115,0.1544,0.9628,0.268982
17,58,0.6003749966621399,0.621178925037384,0.5989921689033508,0.6599764823913574,0.8262122869491577,0.7183777093887329,0.2260959595199078,0.02431269221937782,0.010071301581470583,0.0029895541046649553,-0.20178326730052998,-0.007081747476805627,0.0,0.0,0.48752000000000006,0.43,-0.05752000000000007,0.32846400000000003,0.4956,-0.012920000000000015,0.19524,0.18231999999999998,165.07296752929688,144.8998260498047,125.98125457763672,0.6187392055267703,0.8605354058721935,0.9558232931726908,0.05566797032952309,0.1132,0.9592,0.29408999999999996
18,59,0.5999437570571899,0.6200445294380188,0.5995711088180542,0.6622669696807861,0.8283256888389587,0.7236971259117126,0.11066371665175462,0.012483703076119,0.01270687753142311,0.0033094532791782547,-0.09818001357563562,-0.009397424252244855,0.0,0.0,0.5028400000000001,0.42863999999999997,-0.0742000000000001,0.343176,0.4768,0.0038000000000000256,0.24711999999999995,0.25092,163.47293090820312,140.00433349609375,125.73040008544922,0.5855348635773062,0.8475530532698138,0.9463548830811555,0.057218749076128006,0.1288,0.9624,0.295032
19,60,0.598701536655426,0.6142585873603821,0.5999640822410583,0.6644564867019653,0.8025990128517151,0.7202559113502502,0.31605136436055536,0.016190538239297076,0.05730436830782917,0.008291368184051972,-0.2998608261212583,-0.0490130001237772,0.0,0.0,0.49632,0.43212,-0.06419999999999998,0.33134399999999997,0.5056,0.015120000000000022,0.09043999999999999,0.10556000000000001,171.73907470703125,156.39723205566406,132.34486389160156,0.5980095196884465,0.8208567719601904,0.9029017857142857,0.060457032173871994,0.2648,0.9344,0.221082
20,61,0.5981101393699646,0.6127468943595886,0.6004250049591064,0.6696430444717407,0.8091146349906921,0.7310303449630737,0.20114634230273037,0.027501336945373097,0.026058696022632537,0.003395377194781331,-0.17364500535735727,-0.022663318827851206,0.0,0.0,0.5085200000000001,0.45648,-0.052040000000000086,0.33497,0.5024,0.013160000000000005,0.13191999999999998,0.14508,168.59078979492188,149.59786987304688,128.24237060546875,0.5646589902568645,0.8157661647475642,0.9437022900763359,0.06044609472155571,0.316,0.95,0.21489999999999998
