run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
26,67,0.6008148193359375,0.6219664216041565,0.5997164249420166,0.6671419143676758,0.8354689478874207,0.7239698171615601,0.17767075210989136,0.011805102582646857,0.012320433112928087,0.0032335667176552957,-0.1658656495272445,-0.009086866395272793,0.0,0.0,0.49235999999999996,0.43632,-0.05603999999999998,0.31608,0.5296,0.08867999999999995,0.22328,0.31195999999999996,159.06260681152344,133.74827575683594,124.36817932128906,0.6528497409326425,0.9019861830742659,0.9306818181818182,0.05813828110694885,0.1556,0.9572,0.301402
27,68,0.5999171733856201,0.6203429698944092,0.5996164083480835,0.6639115810394287,0.8301160335540771,0.7211936712265015,0.1073611326047364,0.01002709770461256,0.005051795459932481,0.0060542851560847245,-0.09733403490012384,0.0010024896961522431,0.0,0.0,0.49984,0.4328,-0.06703999999999999,0.34163399999999994,0.49,0.11256000000000005,0.295,0.40756000000000003,157.60836791992188,130.92555236816406,119.92195129394531,0.6013215859030837,0.8700440528634361,0.9365853658536586,0.058378905057907104,0.1868,0.9464,0.30086
28,69,0.5985281467437744,0.6141117215156555,0.6003156304359436,0.669776201248169,0.815497636795044,0.7312299013137817,0.15048648796357492,0.01118860797418621,0.013535046898516454,0.004773979495192643,-0.1392978799893887,-0.008761067403323811,0.0,0.0,0.50588,0.453,-0.05287999999999998,0.33370599999999995,0.5088,0.01971999999999996,0.13808000000000004,0.1578,163.98143005371094,143.93896484375,124.50228118896484,0.6076957098628926,0.8487394957983193,0.928082191780822,0.05929296836256981,0.2868,0.9516,0.223604
29,70,0.6000078320503235,0.6208562254905701,0.5997359156608582,0.6598045825958252,0.8324497938156128,0.7217174768447876,0.11443946997695482,0.021715948348835237,0.010414291785901668,0.008773659563263292,-0.09272352162811959,-0.001640632222638376,0.0,0.0,0.51504,0.44655999999999996,-0.0684800000000001,0.34867800000000004,0.4924,0.015400000000000025,0.28331999999999996,0.29872,161.32894897460938,135.82192993164062,128.2570037841797,0.5956140350877193,0.8719298245614036,0.9330085261875761,0.05853046849370003,0.1152,0.9688,0.29566200000000004
30,71,0.6007726788520813,0.6212765574455261,0.6004312634468079,0.6662383079528809,0.8307005763053894,0.7254973649978638,0.10661210676165225,0.013233952978817801,0.012928269140446478,0.003421592457418616,-0.09337815378283446,-0.009506676683027862,0.0,0.0,0.5041599999999999,0.45436,-0.049799999999999955,0.35062600000000005,0.4928,0.033040000000000014,0.21604,0.24908000000000002,160.04595947265625,137.784912109375,121.3106918334961,0.6405030355594102,0.8759757155247181,0.9465478841870824,0.06077343598008156,0.1592,0.9528,0.305618
