run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
6,47,0.599135160446167,0.6161671876907349,0.5998625159263611,0.6645300984382629,0.8104243874549866,0.718262255191803,0.09980040779634623,0.009385234835494551,0.02144106809578878,0.01186011140319598,-0.09041517296085168,-0.0095809566925928,0.0,0.0,0.4651199999999999,0.4248,-0.04031999999999991,0.328976,0.4796,-0.018880000000000008,0.19456,0.17568,167.30775451660156,146.6014862060547,131.5498504638672,0.5922840859272249,0.8465585269618588,0.9003021148036254,0.05926171690225601,0.2496,0.9532,0.244934
7,48,0.6004703044891357,0.6222359538078308,0.5998062491416931,0.6591277122497559,0.83077073097229,0.7185086607933044,0.10497678819046909,0.012746011383626308,0.013640027810216122,0.003968753583123136,-0.09223077680684277,-0.009671274227092987,0.0,0.0,0.51368,0.45339999999999997,-0.060280000000000056,0.338692,0.5056,0.05376000000000003,0.27055999999999997,0.32432,160.5613555908203,135.84117126464844,123.69259643554688,0.6166231505657093,0.8668407310704961,0.9335006273525721,0.0594351552426815,0.1312,0.9456,0.30748600000000004
8,49,0.6001468896865845,0.6235812306404114,0.5999382734298706,0.6542483568191528,0.8428529500961304,0.7209702134132385,0.09232697786667614,0.026115360273395383,0.006761735043612602,0.004682883398909241,-0.06621161759328076,-0.0020788516447033606,0.0,0.0,0.5151999999999999,0.44036,-0.0748399999999999,0.33866399999999997,0.4784,0.06744,0.45095999999999997,0.5184,159.7249298095703,127.09756469726562,125.02600860595703,0.5700090334236676,0.8852755194218609,0.9336801040312094,0.05929453298449516,0.0956,0.9524,0.328816
9,50,0.6000632643699646,0.6198609471321106,0.6000882983207703,0.6660875678062439,0.8314274549484253,0.7294654846191406,0.08740098793504619,0.019386317521016355,0.013472509119795004,0.0031910244191871474,-0.06801467041402984,-0.010281484700607857,0.0,0.0,0.51172,0.4556,-0.05611999999999995,0.34173000000000003,0.4976,0.023800000000000043,0.25627999999999995,0.28008,159.7542266845703,135.7121124267578,119.33016967773438,0.6348241424229266,0.8931828050369084,0.9655581947743468,0.05857890471816063,0.1868,0.96,0.285154
10,51,0.5998304486274719,0.6186320185661316,0.5996078252792358,0.664511501789093,0.8215326070785522,0.7245710492134094,0.13859431685189214,0.01041392041140649,0.019405091459111755,0.0022932554530880186,-0.12818039644048565,-0.017111836006023735,0.0,0.0,0.4872000000000001,0.42160000000000003,-0.06560000000000005,0.342346,0.4808,0.022400000000000003,0.17472000000000001,0.19712000000000002,164.2752227783203,144.6531219482422,125.11715698242188,0.6387068588903452,0.8719965050240279,0.9242603550295858,0.057295311242341995,0.1852,0.9604,0.26861
