run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
11,52,0.5994179844856262,0.6180523633956909,0.5993281006813049,0.6634644269943237,0.8225318193435669,0.718244731426239,0.11301223917937671,0.011281176797484235,0.015332968704104359,0.005705720651218612,-0.10173106238189247,-0.009627248052885746,0.0,0.0,0.49164,0.41276,-0.07888,0.32530000000000003,0.5072,-0.0012800000000000034,0.19944,0.19816,163.1306610107422,140.69125366210938,124.81156158447266,0.6110392410521777,0.8732212160413971,0.915606936416185,0.05661953240633011,0.1876,0.9536,0.266996
12,53,0.5998023152351379,0.6188242435455322,0.600055456161499,0.6651517748832703,0.8255861401557922,0.7226731777191162,0.08287807642373907,0.016334317047235845,0.018442863787290254,0.003180115806743211,-0.06654375937650323,-0.015262747980547043,0.0,0.0,0.48124,0.42988,-0.05136000000000002,0.331588,0.5092,0.08459999999999993,0.22620000000000004,0.31079999999999997,159.90362548828125,135.4350128173828,124.22315979003906,0.6114058355437666,0.874447391688771,0.9324487334137516,0.05992421880364418,0.2076,0.9488,0.281818
13,54,0.599078893661499,0.6144461035728455,0.5999757647514343,0.6729375720024109,0.8121185898780823,0.7229163646697998,0.08779086990198372,0.02069731445081427,0.023986168926994827,0.002531535349956159,-0.06709355545116945,-0.021454633577038668,0.0,0.0,0.5138800000000001,0.43312,-0.08076000000000011,0.328022,0.5212,0.047920000000000004,0.12428000000000002,0.17220000000000002,165.8197479248047,145.3935546875,122.31353759765625,0.6369098712446352,0.8721030042918455,0.9406175771971497,0.0599546879529953,0.3008,0.936,0.220768
14,55,0.6002125144004822,0.6184203028678894,0.6000913977622986,0.6714268922805786,0.8253734111785889,0.7239699363708496,0.07843499243542526,0.02356695835889721,0.011246848884258778,0.0042613730883441095,-0.05486803407652805,-0.006985475795914668,0.0,0.0,0.5124000000000001,0.43920000000000003,-0.07320000000000004,0.327316,0.49,0.06948000000000004,0.18072,0.25020000000000003,160.64512634277344,137.98809814453125,121.96263885498047,0.6485337866553336,0.888652783680408,0.9527472527472527,0.05968828126788139,0.2368,0.9412,0.26681
15,56,0.60054612159729,0.6217179894447327,0.5993476510047913,0.6639657020568848,0.832389771938324,0.722744345664978,0.09358032313719912,0.010093517604014373,0.01435062997971448,0.004238651859361362,-0.08348680553318474,-0.010111978120353117,0.0,0.0,0.47800000000000004,0.41696,-0.06104000000000004,0.33534800000000003,0.5048,0.04039999999999999,0.21448,0.25488,162.4806671142578,138.56056213378906,125.5701904296875,0.6179345516362091,0.87972800679983,0.9377713458755427,0.05665547028183937,0.14,0.9616,0.298644
