run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,sig_final_tacc,gate_final_perstate,sig_final_perstate,cv_base_pre,cv_gate_pre,cv_sig_pre,cv_base_post,cv_gate_post,cv_sig_post,base_recovery_t,gate_recovery_t,sig_recovery_t,base_recovery_frac,gate_recovery_frac,sig_recovery_frac,mi_gate_pre,mi_sig_pre,mi_gate_post,mi_sig_post,cre_base,cre_gate,cre_sig,gate_mean_overall,sig_mean_overall,distress_mean_overall,contra_spike,gate_spike,sig_spike,grid_div_gate,grid_div_sig,stable_std,stable_gate,stable_sig
6,47,0.599135160446167,0.6161671876907349,0.6009601354598999,0.600739061832428,0.7324140071868896,0.7278487086296082,0.09980040779634623,0.02370746163496579,0.014318887232766038,0.02144106809578878,0.004622728032923001,0.005791233854686228,167.30775451660156,121.55823516845703,127.01602935791016,0.5922840859272249,0.9357429718875502,0.9099876695437731,29.507719795670567,31.00471749565973,2.540318981015225,4.287827055482107,101.0,137.0,141.0,0.325158,0.32661,0.19795259833335876,-0.018880000000000008,-0.03960000000000008,-0.05256000000000005,0.4912,0.4968,0.2496,0.9068,0.9252
7,48,0.6004703044891357,0.6222359538078308,0.6010273694992065,0.6006015539169312,0.7291483283042908,0.724778950214386,0.10497678819046909,0.021717039460263578,0.016102352264908554,0.013640027810216122,0.003234336676346184,0.004005399711468705,160.5613555908203,125.85662841796875,126.92381286621094,0.6166231505657093,0.9127837514934289,0.9107142857142857,29.23579964764775,25.090848374969593,6.890129820613411,5.38027214848596,101.0,120.0,126.0,0.326944,0.33942999999999995,0.18951987341046334,0.05376000000000003,-0.06779999999999997,-0.06215999999999994,0.5068,0.5136,0.1312,0.9052,0.9164
8,49,0.6001468896865845,0.6235812306404114,0.6007742285728455,0.6008992195129395,0.7326648831367493,0.7302179932594299,0.09232697786667614,0.02742589736452638,0.0236725491771024,0.006761735043612602,0.003505521080416726,0.0031845687994911877,159.7249298095703,125.2493896484375,124.1927719116211,0.5700090334236676,0.902200488997555,0.9211391018619934,31.201331874735455,40.52533998623112,5.443074731882312,3.7592424852616073,129.0,102.0,102.0,0.321494,0.32556799999999997,0.201651828661561,0.06744,-0.04931999999999992,-0.054480000000000084,0.4788,0.5076,0.0956,0.9152,0.9168
9,50,0.6000632643699646,0.6198609471321106,0.6011648178100586,0.6009179949760437,0.7399420142173767,0.7383566498756409,0.08740098793504619,0.013950303954501773,0.02958281190722955,0.013472509119795004,0.004102450504222939,0.009960681810214698,159.7542266845703,127.69139099121094,130.7185821533203,0.6348241424229266,0.9007177033492823,0.8940809968847352,27.214062894583755,45.713868875306595,5.058982911840689,10.642030579107868,101.0,132.0,123.0,0.32876399999999995,0.315388,0.21622646667063236,0.023800000000000043,-0.047160000000000035,-0.045600000000000085,0.494,0.4764,0.1868,0.9208,0.926
10,51,0.5998304486274719,0.6186320185661316,0.6005312204360962,0.6010312438011169,0.734330415725708,0.7304926514625549,0.13859431685189214,0.02649282002889773,0.011670190730391088,0.019405091459111755,0.005193633813383428,0.004293179387534697,164.2752227783203,133.8732452392578,122.61843872070312,0.6387068588903452,0.8797399783315276,0.9270166453265045,35.443746406014185,23.80477220882578,5.3459502793843505,3.0846285325957745,101.0,146.0,141.0,0.307822,0.330896,0.18931343972682954,0.022400000000000003,-0.04231999999999997,-0.05464000000000002,0.5192,0.4852,0.1852,0.9284,0.9248
