run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,sig_final_tacc,gate_final_perstate,sig_final_perstate,cv_base_pre,cv_gate_pre,cv_sig_pre,cv_base_post,cv_gate_post,cv_sig_post,base_recovery_t,gate_recovery_t,sig_recovery_t,base_recovery_frac,gate_recovery_frac,sig_recovery_frac,mi_gate_pre,mi_sig_pre,mi_gate_post,mi_sig_post,cre_base,cre_gate,cre_sig,gate_mean_overall,sig_mean_overall,distress_mean_overall,contra_spike,gate_spike,sig_spike,grid_div_gate,grid_div_sig,stable_std,stable_gate,stable_sig
1,42,0.6005195379257202,0.620855450630188,0.6011812686920166,0.6007968783378601,0.7407172918319702,0.7339091300964355,0.08871896524923821,0.029092600829470794,0.03884063446051208,0.011613955253317956,0.010179443046650694,0.0036236689784707576,158.14891052246094,130.2888641357422,122.47893524169922,0.6489177489177489,0.907563025210084,0.9410112359550562,38.01724068067139,37.787224199031236,5.854651009315159,6.601508599729983,101.0,118.0,117.0,0.311478,0.319574,0.20177656471729277,0.03083999999999998,-0.06108000000000002,-0.07123999999999986,0.5012,0.4796,0.1736,0.9092,0.9344
2,43,0.6001155972480774,0.618694543838501,0.6012343764305115,0.5997866988182068,0.7323353290557861,0.7221270799636841,0.12451349486186059,0.03938994982144032,0.019623813197003008,0.012855667318037613,0.00353977402502508,0.0030803690979566726,165.2865753173828,130.90382385253906,125.74063110351562,0.6158826068191627,0.8914919852034525,0.9370314842578711,29.521422355044837,24.828093119619712,3.2996872885072355,9.197125744790654,101.0,142.0,144.0,0.323082,0.34382000000000007,0.18837986379861832,-0.03863999999999998,-0.04511999999999999,-0.050439999999999874,0.458,0.4676,0.1908,0.8936,0.9368
3,44,0.5996086001396179,0.6188914179801941,0.6010375022888184,0.5998547077178955,0.733649730682373,0.7277665138244629,0.21531939386508403,0.01429880156525321,0.016413044717532046,0.020889355576586704,0.00687339965807491,0.004750317733151123,164.7935028076172,123.28443908691406,122.18862915039062,0.6177489177489177,0.9400510204081632,0.9341085271317829,32.10379422225031,29.03233029104073,4.673025114262947,7.5847922790896,101.0,139.0,143.0,0.32339,0.327252,0.18802772268652915,-0.01591999999999999,-0.06740000000000002,-0.03064,0.5044,0.5068,0.1648,0.9036,0.9328
4,45,0.5988336205482483,0.6168679594993591,0.6014156341552734,0.600529670715332,0.7332526445388794,0.7305933833122253,0.21750013098595303,0.013950230891942562,0.014953721890012577,0.011301322720009045,0.0037565711115391674,0.003092950063353322,161.26275634765625,125.248046875,121.3616714477539,0.5819158460161146,0.9217877094972067,0.9467005076142132,33.197220746529446,24.646405373826052,6.904381189001693,5.797544426353109,101.0,150.0,145.0,0.337492,0.33558400000000005,0.1876062662154436,0.04715999999999998,-0.059,-0.03639999999999999,0.4716,0.502,0.2296,0.892,0.9284
5,46,0.5989062786102295,0.6175984144210815,0.6011359095573425,0.6002140641212463,0.7352103590965271,0.7265966534614563,0.07361911624235838,0.02934734406203965,0.028225104544043807,0.012343300255099887,0.006499012882637964,0.004186457191035126,164.08596801757812,131.35511779785156,127.41922760009766,0.578173719376392,0.9209694415173867,0.9198931909212283,35.83787654592659,32.34813047218206,4.858658630738318,11.041360590049067,101.0,145.0,142.0,0.327816,0.32711799999999996,0.19747250027954577,0.045200000000000046,-0.05915999999999999,-0.04111999999999988,0.4764,0.4848,0.1708,0.9104,0.936
