run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,sig_final_tacc,gate_final_perstate,sig_final_perstate,cv_base_pre,cv_gate_pre,cv_sig_pre,cv_base_post,cv_gate_post,cv_sig_post,base_recovery_t,gate_recovery_t,sig_recovery_t,base_recovery_frac,gate_recovery_frac,sig_recovery_frac,mi_gate_pre,mi_sig_pre,mi_gate_post,mi_sig_post,cre_base,cre_gate,cre_sig,gate_mean_overall,sig_mean_overall,distress_mean_overall,contra_spike,gate_spike,sig_spike,grid_div_gate,grid_div_sig,stable_std,stable_gate,stable_sig
46,87,0.6008609533309937,0.6213523149490356,0.6014328002929688,0.6011257767677307,0.7379078269004822,0.7329767346382141,0.1148095004982607,0.022960710904524638,0.03245127210141411,0.01702041495313676,0.005377955354134727,0.002558840967543791,161.23983764648438,128.84182739257812,122.28556060791016,0.6648305084745763,0.8991507430997877,0.9299568965517241,42.515778990280616,38.94507769219294,8.9832176284281,7.387114357291241,101.0,130.0,140.0,0.309742,0.3278420000000001,0.20307143345475198,0.035600000000000076,-0.03995999999999994,-0.04708000000000001,0.4888,0.5252,0.1372,0.9016,0.9216
47,88,0.5989968776702881,0.6163969039916992,0.6013070344924927,0.600656270980835,0.7373857498168945,0.7328659296035767,0.11937923725363993,0.04813246721068566,0.023278849805265282,0.012441470522911054,0.004044576772128836,0.00603812947577724,163.43472290039062,125.38356018066406,127.2573471069336,0.6118052563550194,0.8926940639269406,0.9148936170212766,40.06171312145708,45.55159430215657,4.9666671311106425,8.918403248881793,101.0,148.0,157.0,0.316876,0.32254800000000006,0.20734028048813344,0.044680000000000025,-0.04071999999999987,-0.036280000000000034,0.4628,0.5064,0.2724,0.9024,0.9396
48,89,0.5993124842643738,0.6169250011444092,0.6002945303916931,0.6002812385559082,0.7302954792976379,0.7279480695724487,0.15533138055352497,0.031092602780096543,0.02104049858662592,0.007857505767620728,0.0017266900813772878,0.0029300783524207788,160.4791717529297,122.43467712402344,125.09857177734375,0.6111111111111112,0.9195979899497487,0.9507133592736705,52.02395837919623,24.844268929152612,10.22890286492169,7.609581690483842,163.0,148.0,146.0,0.311796,0.332162,0.19173172652721404,0.10275999999999996,-0.030799999999999883,-0.04100000000000009,0.4832,0.4776,0.2036,0.9156,0.9372
49,90,0.5998296737670898,0.6181992292404175,0.6016499996185303,0.6009195446968079,0.7331862449645996,0.7285887002944946,0.2681730259276416,0.02894653470158754,0.011308256826288412,0.04888459477149747,0.0034431400740579125,0.009334746378706365,172.72271728515625,128.77450561523438,126.67041778564453,0.6157112526539278,0.9051633298208641,0.9191402251791198,43.24715303620296,34.787169032380845,3.7507207826961544,6.881659992897894,101.0,175.0,172.0,0.320176,0.330234,0.19376695692539214,-0.005840000000000012,-0.04260000000000003,-0.02179999999999993,0.5024,0.4884,0.1412,0.8732,0.898
50,91,0.599790632724762,0.6193195581436157,0.601939857006073,0.6009562611579895,0.741032063961029,0.7327583432197571,0.20029194496636923,0.02220210790816943,0.0395760798121538,0.013988423316262724,0.008149724995001504,0.004012271266920611,160.8729248046875,131.13604736328125,120.52890014648438,0.6279579316389132,0.8730964467005076,0.9335260115606936,44.396790219660645,32.696233040906534,3.3077387501868123,-0.6711709547780416,101.0,136.0,134.0,0.306028,0.31399,0.20459188267588616,0.04536000000000001,-0.06715999999999994,-0.07156000000000001,0.5292,0.516,0.1504,0.8816,0.9176
