run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_coverage,base_final_coverage,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,stable_fraction,mean_contra_rate
26,67,0.7280804514884949,0.7270101308822632,0.025182031095027924,0.025182031095027924,0.7928938269615173,0.7647691369056702,0.7267224192619324,0.7266373634338379,0.7289342284202576,0.72724449634552,0.386,0.07336000000000001
27,68,0.7285304665565491,0.727104663848877,0.02969375066459179,0.02969375066459179,0.7680827379226685,0.7305527329444885,0.7267913222312927,0.7266785502433777,0.7290664911270142,0.7272360324859619,0.2356,0.098576
28,69,0.7280195355415344,0.7270210981369019,0.02465546876192093,0.02465546876192093,0.8037194609642029,0.7769375443458557,0.7267373204231262,0.7266678214073181,0.7288503646850586,0.7272500395774841,0.3932,0.07113599999999999
29,70,0.7284843921661377,0.7270617485046387,0.028586719185113907,0.028586719185113907,0.780681848526001,0.7436031103134155,0.7268006205558777,0.7267042994499207,0.729178786277771,0.7272091507911682,0.292,0.09446399999999999
30,71,0.728683590888977,0.7271398305892944,0.02950703166425228,0.02950703166425228,0.7823330760002136,0.7415366172790527,0.7268276214599609,0.7267127633094788,0.7293534278869629,0.7272939682006836,0.2652,0.10711999999999999
