run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
21,62,0.5999187231063843,0.6197953224182129,0.6020874977111816,0.6650205850601196,0.8303834795951843,0.7385940551757812,0.08469895538599198,0.043539092697446664,0.010066490025860575,0.0037919985487764696,-0.041159862688545316,-0.006274491477084105,0.0,0.0,0.5024,0.45391999999999993,-0.04848000000000002,0.31852800000000003,0.5164,0.061480000000000035,0.27252,0.334,158.8074188232422,133.4283905029297,121.91244506835938,0.6192139737991267,0.8816593886462882,0.9274193548387096,0.06557656079530716,0.1992,0.8872,0.282478
22,63,0.599163293838501,0.617257833480835,0.6006734371185303,0.6629671454429626,0.8209404349327087,0.7332815527915955,0.12545780409849394,0.01259463261963242,0.019978746615253035,0.013264684571920425,-0.11286317147886152,-0.00671406204333261,0.0,0.0,0.47048000000000006,0.40779999999999994,-0.06268000000000012,0.325014,0.4856,0.021639999999999965,0.17032000000000003,0.19196,164.4544677734375,143.4771270751953,132.3874053955078,0.6032874278098623,0.8471790315415371,0.9031476997578692,0.05957422032952309,0.2364,0.9316,0.258794
23,64,0.5991906523704529,0.6192187666893005,0.6004015803337097,0.6563076972961426,0.825996458530426,0.7306180596351624,0.1627810565574805,0.018730783071507443,0.012498372289897114,0.002927696346306129,-0.14405027348597307,-0.009570675943590984,0.0,0.0,0.46248000000000006,0.44028,-0.022200000000000053,0.321102,0.496,0.010160000000000002,0.24176000000000003,0.25192000000000003,161.74459838867188,138.31219482421875,126.04306030273438,0.5852047556142669,0.8494055482166446,0.9246411483253588,0.05998437479138374,0.1632,0.9252,0.285314
24,65,0.5993375182151794,0.6165679693222046,0.6011132597923279,0.6725381016731262,0.8257080912590027,0.7435441613197327,0.09986567777521549,0.020831610236023756,0.017281428071822317,0.002269229481493683,-0.07903406753919173,-0.015012198590328634,0.0,0.0,0.4998,0.44816,-0.05164000000000002,0.322632,0.5148,0.06464000000000003,0.2278,0.29244000000000003,159.9857177734375,135.22630310058594,120.61127471923828,0.6140199048031155,0.8706187797490264,0.9479768786127167,0.060057032853364944,0.2756,0.9268,0.24717200000000003
25,66,0.5998554825782776,0.6183781027793884,0.6005547046661377,0.6622191667556763,0.8147817254066467,0.7298610210418701,0.17997671498468487,0.0235331872783261,0.015832559274698066,0.002909750499382322,-0.15644352770635878,-0.012922808775315743,0.0,0.0,0.48247999999999996,0.43376000000000003,-0.04871999999999993,0.327626,0.486,0.0058,0.16068,0.16648,165.76820373535156,145.05169677734375,126.59617614746094,0.6148211977595864,0.8616975441619992,0.9171974522292994,0.06037890538573265,0.1748,0.9164,0.263316
